E_lab	E*/MeV	191At	192At	193At	194At	195At	196At	197At
255.984	43.0	0.000E+00	0.509E-05	0.161E-01	0.467E-02	0.132E-02	0.152E-01	0.184E-02
257.381	44.0	0.000E+00	0.141E-04	0.168E-01	0.329E-02	0.218E-02	0.154E-01	0.134E-02
258.779	45.0	0.000E+00	0.344E-04	0.166E-01	0.226E-02	0.335E-02	0.151E-01	0.949E-03
260.176	46.0	0.000E+00	0.746E-04	0.156E-01	0.152E-02	0.479E-02	0.142E-01	0.659E-03
261.573	47.0	0.000E+00	0.145E-03	0.139E-01	0.999E-03	0.646E-02	0.130E-01	0.450E-03
262.970	48.0	0.000E+00	0.255E-03	0.119E-01	0.648E-03	0.827E-02	0.115E-01	0.302E-03
264.367	49.0	0.133E-08	0.411E-03	0.987E-02	0.415E-03	0.101E-01	0.987E-02	0.200E-03
265.764	50.0	0.818E-08	0.614E-03	0.790E-02	0.265E-03	0.120E-01	0.825E-02	0.131E-03
267.162	51.0	0.385E-07	0.860E-03	0.615E-02	0.175E-03	0.136E-01	0.673E-02	0.848E-04
268.559	52.0	0.148E-06	0.114E-02	0.466E-02	0.129E-03	0.151E-01	0.536E-02	0.545E-04
269.956	53.0	0.489E-06	0.143E-02	0.346E-02	0.122E-03	0.162E-01	0.418E-02	0.347E-04
271.353	54.0	0.141E-05	0.172E-02	0.252E-02	0.157E-03	0.168E-01	0.320E-02	0.220E-04
272.750	55.0	0.362E-05	0.197E-02	0.181E-02	0.240E-03	0.170E-01	0.241E-02	0.138E-04
274.147	56.0	0.834E-05	0.215E-02	0.127E-02	0.379E-03	0.167E-01	0.178E-02	0.861E-05
275.545	57.0	0.174E-04	0.226E-02	0.887E-03	0.581E-03	0.160E-01	0.130E-02	0.534E-05
276.942	58.0	0.331E-04	0.228E-02	0.610E-03	0.850E-03	0.149E-01	0.938E-03	0.329E-05
278.339	59.0	0.579E-04	0.221E-02	0.416E-03	0.118E-02	0.135E-01	0.668E-03	0.201E-05
279.736	60.0	0.939E-04	0.207E-02	0.281E-03	0.158E-02	0.120E-01	0.470E-03	0.122E-05
281.133	61.0	0.142E-03	0.188E-02	0.190E-03	0.201E-02	0.104E-01	0.328E-03	0.738E-06
282.530	62.0	0.202E-03	0.165E-02	0.130E-03	0.248E-02	0.880E-02	0.227E-03	0.441E-06
283.928	63.0	0.271E-03	0.141E-02	0.947E-04	0.294E-02	0.731E-02	0.155E-03	0.259E-06
285.325	64.0	0.344E-03	0.118E-02	0.798E-04	0.339E-02	0.597E-02	0.106E-03	0.150E-06
286.722	65.0	0.414E-03	0.968E-03	0.849E-04	0.378E-02	0.480E-02	0.713E-04	0.837E-07
288.119	66.0	0.476E-03	0.776E-03	0.112E-03	0.410E-02	0.379E-02	0.478E-04	0.442E-07
